docid	charname	charid	gender	pubdate	words
coo.31924001450448	Grolla	coo.31924001450448|Grolla	u	1949	left waiting quanted preparing sought taken take stood came gave take emerge turned flinched had bore felt heard chanted found turned wrenched squawked left had were head helm broody impatient was-installed was-engaged was-begun
coo.31924001450448	Hompur	coo.31924001450448|Hompur	u	1949	feel pushed did wriggled made coiled remembered knew stood led bringing stood watched swam took like visited leave ignored felt was awoke did had came watch held surged heard set hang leave saw tried floundering wished balanced took see tended move see waited took was looked making known suppress came revelled slept make tended need felt see continued breast head hindquarters satisfaction neck back face feathers family individuality intuition meal spirit generalship company side face satellites retinue pride head reach weight foot summer spirit aware silent half glad impressed reasoner willing last was-forged was-troubled was-leave was-followed was-allowed was-concerned was-accept
coo.31924001450448	Rooks	coo.31924001450448|Rooks	m	1949	passed circled stood attracted wanted laid choked worried foreknowledge blood head much
coo.31924001450448	Ogur	coo.31924001450448|Ogur	u	1949	reconnoitre kept liked appeared had knew gave left risen was left said-marauders said-windward said-high
coo.31924001450448	Hisga	coo.31924001450448|Hisga	u	1949	raised ??? pause snorted making wishes death broody was-see said-hompur said-remained said-charge said-nest said-approaches
coo.31924001450448	AlderCarrs	coo.31924001450448|AlderCarrs	m	1949	felt made watched leaned made launched was scotched removed set ascended surveyed exulted called lay did tired expected planed remained tucked returned persisted done avoided resort was killed took forestalled did fastened retained surrender was was had knew was were dared own property eye vent throat beat patrol starling crop errands pinions supremacy games quill-slots flight plumes head shoulders hearth attempt favours mate rejoining observance flightline hold prey partner rounds best vanes flight ways ears influence filled bill own perch best cut head eye nest had way fussy was-sustained was-beckoned was-waylay was-avoided was-made was-carried was-pestered was-filled was-amused
coo.31924001450448	Martins	coo.31924001450448|Martins	m	1949	floated prompted given turned made given rise lingered seen drove had accepted was knew recalled heard put feel embarking craved made pick had face neck back scapulars leave lameness vanes power departure recollections mate surroundings head impotence choice dourness alertness eyes head shoulder eye mind round languid able was-left was-brought was-seen was-accompany was-carried
coo.31924001450448	A.Christiansen	coo.31924001450448|A.Christiansen	m	1949	trailed had had taken disturbed watched kept got see took go kept brought heaved saw changed saw thought visit doubts innocence head nerves distance mind disquiet agitation grounds faults thighs mind foot load fluff-headed sure loath was-assailed said-pass said-catch said-catch said-whether said-rabbit said-heavier said-scrap said-fluff said-gristle said-five said-fluff-headed said-looked said-oddly said-dilapidated said-feathers said-beginning said-show said-cotton-wool said-places said-bodies
coo.31924001450448	Harra	coo.31924001450448|Harra	u	1949	tore towering drifted chosen seemed get arranged went begun chose made left go positioning was reached spread affection plumage plight need spleen composure nest eyes fledglings mistress next free unwilling said-pass
coo.31924001450448	BlackMires	coo.31924001450448|BlackMires	m	1949	hove pay was indulged made did sat forfeit courtship throat was-pressed
coo.31924001450448	GrainsRigg	coo.31924001450448|GrainsRigg	m	1949	afar retained lighted knew set come was cruised examined picked squeezed stood come keep was mind reckoning direction-finding was-brought was-overlooked was-see was-acknowledge
coo.31924001450448	Girriak	coo.31924001450448|Girriak	u	1949	was carried had continued nattered was took regarded seemed felt was found showed heard had peeled breasted heard got slipped made was rolled thought had trailed flicked lingered had made endure heard surveyed offering had accounted had turned had break know took heed saw note jerked seen lifted seen slept looked affairs grounds situation flank days cat-call stroke liking lure tail birch-stump primaries bill summons wishes tail eyes doubts inertia flight perch bill temperament unwieldy shirker uppermost nothing quick intelligence was-left was-pester was-cuffed was-blooded was-inclined was-troubled was-left
coo.31924001543903	George	coo.31924001543903|George	m	1947	sitting had opened blinked slept afternoon mother mother beak mandibles beak eyes tummy fate darling was-saw was-see was-see
coo.31924002447229	Mr.Rowley	coo.31924002447229|Mr.Rowley	m	1949	grumbled believe pleaded replied cried 's said dispose see means ready ready
coo.31924002447229	Rosie	coo.31924002447229|Rosie	f	1949	felt remembered handed blushed found sighed jumped said set murmured looked dropped said twisted glowered hissed clung wriggled blushed tittered giggled said hide pouted do loves flung felt gasped expected got bargained discarded lounged yawned said took lost disliked abhorred said said is yawned planned prattled said said was sleeps lift wake slept understand is waved said flung rushed set yammered pointed wailed said pointing added started had shook returning insisted suggested wept insisted objected sat twisted felt listening studying said said married expect walking was welcomed said took explained body face home father eye parents kindness confusion seat mother finger tongs face position prejudices code calculations need desires tears brutally handkerchief arm husband husband mate arrival coat parents toenails claustrophobia husband husband hoop initials coat shriek husband hand feet side husband wind head heart lord problem bed husband hands own daughter father room room entrance husband husband willing pastoriza was-cast was-saw was-grab was-asked was-had was-discouraged was-settled was-crushing was-cooed was-teased was-breathed was-remarked was-initiate was-tempted was-asked was-getting was-bop was-wailed was-yelled was-cried was-whined was-cried was-insisted was-demanded was-inquired was-asked was-replied was-demanded was-cried was-interrupted was-asked was-replied was-replied was-added was-demanded was-give said-nice said-cozy said-tea said-nuh said-momma said-guess said-good-natured said-wexler said-enjoy said-cup said-tea said-put said-hand said-call said-popper said-ta said-marry said-buy said-nothin said-because said-want said-maybe said-want said-potato said-salad said-whatcha said-big said-boy said-hot said-uh-unh said-goodie said-comics said-money said-yes said-spend said-money said-yes said-waste said-money said-back said-home said-sol said-want said-steady said-job said-wine said-celebrations said-weddings said-birthdays said-day said-want said-funnies said-uh-unh said-kinda said-nervous said-big said-boy said-o.k. said-late said-wake said-asleep said-sol said-quick said-quick said-robbed said-walked said-sleep said-dumb said-robbed said-wedding said-present said-mommer said-popper said-maybe said-wo said-buy said-coat said-rink said-big said-boy said-popper said-call said-police said-maybe said-call said-house said-detective said-house said-detective said-real said-smart said-feller said-rink said-mink said-coat said-sure said-robbed said-police said-arrest said-back said-back said-rink said-coat said-thought said-sense said-why said-waste said-money said-talk said-why said-want said-listen said-heard said-thing said-wondering said-big said-boy said-address said-kaplan said-oh said-sol said-tired said-long said-day said-store said-wan said-na said-fixed said-supper said-queen said-cake said-gave said-hungry said-people said-instead said-bread said-sol
coo.31924002447229	RoccoProgato	coo.31924002447229|RoccoProgato	m	1949	wanted achieve wanted huffed muttered said snapped said look continued said saw made shook seemed made seemed continued slipped reached seemed plunged swished said behaved like do come come own leg voice face arms fists fingers body kneejoint pigeons organisation death visitor sure ih ??? was-muttered was-answered was-rasped was-shook was-irked was-remember said-yeh said-sol said-yeh said-birds said-neither said-cut said-talk said-want said-rocco said-wexler said-sucking said-around said-load said-trouble said-real said-trouble said-work said-gilkie said-took said-job said-clean said-gilkie said-playing said-game said-winner-take-all said-forget said-ih said-gilkie said-electric said-chair
coo.31924002447229	BernieZipfel	coo.31924002447229|BernieZipfel	m	1949	replied say stressing planning panted opened parlour attentions arguments right was-got was-hit
coo.31924002447229	JimmyRyan	coo.31924002447229|JimmyRyan	m	1949	came done indulged jumped making muttered continued said mused suggested had stood gave broke getting felt was had spoke is story share discharge love face guidance pocket hindquarters pocket ear trial poet happy was-pleased was-cried was-remarked said-elephant said-castle said-clock said-lad said-furlong said-horse said-why said-survivor said-light said-brigade said-leave said-poor said-lady said-alone said-past said-working said-day said-turned said-lush said-grass said-clover said-free said-winds said-blowing said-moorlands said-cool said-rope said-hold said-herring said-barrel said-strong said-enough said-hold said-gentleman said-noble said-animal said-indeed
